# generated 2017-01-13
#t1	t2	logical	text
MP:0005559	MP:0005560	t	t
MP:0013520	MP:0013519	f	t
MP:0010641	MP:0010473	f	t
MP:0008224	MP:0008222	t	t
MP:0009249	MP:0009248	f	t
MP:0009119	MP:0009136	t	t
MP:0003759	MP:0003758	t	t
MP:0009127	MP:0009128	f	t
MP:0012274	MP:0012272	f	t
MP:0009007	MP:0009006	t	f
MP:0011087	MP:0011088	f	t
MP:0020268	MP:0020269	f	t
MP:0010061	MP:0010062	t	t
MP:0011945	MP:0011946	f	t
MP:0012287	MP:0012286	f	t
MP:0003975	MP:0003976	t	t
MP:0002410	MP:0002418	f	t
MP:0002776	MP:0005250	f	t
MP:0020365	MP:0020366	t	t
MP:0020244	MP:0020245	t	t
MP:0020232	MP:0020233	f	t
MP:0008476	MP:0008477	t	t
